Subscription ID,Account name,Plan,Billing frequency,Quantity,Price per unit,Contract start,Renewal due,Billing contact email
LM-0001,Ashvale Studio Ltd,Core,Monthly,9,8.14,2024-01-14,2026-09-14,billing@ashvalestudioltd.example
LM-0002,Brindon Bakery Group,Lite,Quarterly,105,60.38,2026-02-15,2026-11-15,billing@brindonbakerygro.example
LM-0003,Culverton Nursery Co,Core,Monthly,70,56.93,2024-08-19,2026-09-19,billing@culvertonnursery.example
LM-0004,Dellingham Tutors LLP,Core,Monthly,13,68.14,2025-02-18,2026-09-18,billing@dellinghamtutors.example
LM-0005,Eastmarsh Removals Ltd,Lite,Monthly,35,82.66,2025-09-16,2026-09-16,billing@eastmarshremoval.example
LM-0006,Fairholt Clinic Group,Lite,Monthly,85,5.6,2025-01-16,2026-09-16,billing@fairholtclinicgr.example
LM-0007,Glenmore Garage Co,Lite,Monthly,21,26.55,2026-01-15,2026-09-15,billing@glenmoregarageco.example
LM-0008,Harkness Joinery LLP,Core,Monthly,14,26.64,2026-06-25,2026-09-25,billing@harknessjoineryl.example
LM-0009,Inglewood Veterinary Ltd,Lite,Monthly,7,70.96,2024-03-15,2026-09-15,billing@inglewoodveterin.example
LM-0010,Kettleby Plumbing Group,Core,Annual,116,35.8,2025-09-27,2026-09-27,billing@kettlebyplumbing.example
LM-0011,Longmere Fitness Co,Core,Quarterly,86,83.4,2025-10-21,2026-10-21,billing@longmerefitnessc.example
LM-0012,Marchford Salon LLP,Agency,Monthly,78,21.91,2025-08-19,2026-09-19,billing@marchfordsalonll.example
LM-0013,Netherfold Print Ltd,Lite,Monthly,93,14.19,2026-05-18,2026-09-18,billing@netherfoldprintl.example
LM-0014,Oakhanger Florists Group,Agency,Annual,19,33.9,2024-06-18,2027-06-18,billing@oakhangerflorist.example
LM-0015,Pentridge Studio Co,Lite,Monthly,76,69.06,2025-11-28,2026-09-28,billing@pentridgestudioc.example
LM-0016,Quarrendon Bakery LLP,Core,Monthly,12,47.55,2024-11-22,2026-09-22,billing@quarrendonbakery.example
LM-0017,Rowanhead Nursery Ltd,Agency,Annual,106,79.62,2024-11-24,2026-11-24,billing@rowanheadnursery.example
LM-0018,Southwick Tutors Group,Lite,Monthly,4,73.59,2024-05-15,2026-09-15,billing@southwicktutorsg.example
LM-0019,Thurloxton Removals Co,Lite,Monthly,62,88.93,2026-06-22,2026-09-22,billing@thurloxtonremova.example
LM-0020,Wilbraham Clinic LLP,Agency,Monthly,28,62.52,2026-01-21,2026-09-21,billing@wilbrahamclinicl.example
LM-0021,Ashvale Garage Ltd,Core,Annual,21,74.67,2026-03-28,2027-03-28,billing@ashvalegarageltd.example
LM-0022,Brindon Joinery Group,Core,Monthly,80,70.51,2025-10-18,2026-09-18,billing@brindonjoinerygr.example
LM-0023,Culverton Veterinary Co,Core,Monthly,89,86.23,2024-10-24,2026-09-24,billing@culvertonveterin.example
LM-0024,Dellingham Plumbing LLP,Agency,Quarterly,15,15.51,2025-08-15,2026-11-15,billing@dellinghamplumbi.example
LM-0025,Eastmarsh Fitness Ltd,Core,Monthly,104,78.81,2025-04-15,2026-09-15,billing@eastmarshfitness.example
LM-0026,Fairholt Salon Group,Core,Annual,113,55.51,2024-07-15,2027-07-15,billing@fairholtsalongro.example
LM-0027,Glenmore Print Co,Core,Quarterly,15,9.49,2026-04-27,2026-10-27,billing@glenmoreprintco.example
LM-0028,Harkness Florists LLP,Lite,Monthly,85,40.23,2024-03-22,2026-09-22,billing@harknessflorists.example
LM-0029,Inglewood Studio Ltd,Lite,Monthly,118,45.67,2026-05-18,2026-09-18,billing@inglewoodstudiol.example
LM-0030,Kettleby Bakery Group,Agency,Annual,5,36.8,2025-04-24,2027-04-24,billing@kettlebybakerygr.example
LM-0031,Longmere Nursery Co,Lite,Quarterly,4,24.04,2025-04-15,2026-10-15,billing@longmerenurseryc.example
LM-0032,Marchford Tutors LLP,Core,Monthly,26,43.22,2024-01-17,2026-09-17,billing@marchfordtutorsl.example
LM-0033,Netherfold Removals Ltd,Agency,Annual,115,86.7,2026-06-14,2027-06-14,billing@netherfoldremova.example
LM-0034,Oakhanger Clinic Group,Lite,Monthly,18,35.01,2024-02-27,2026-09-27,billing@oakhangerclinicg.example
LM-0035,Pentridge Garage Co,Agency,Annual,116,11.4,2025-01-27,2027-01-27,billing@pentridgegaragec.example
LM-0036,Quarrendon Joinery LLP,Agency,Monthly,104,59.39,2024-09-18,2026-09-18,billing@quarrendonjoiner.example
LM-0037,Rowanhead Veterinary Ltd,Core,Monthly,106,51.64,2025-10-16,2026-09-16,billing@rowanheadveterin.example
LM-0038,Southwick Plumbing Group,Lite,Quarterly,108,14.37,2024-07-14,2026-10-14,billing@southwickplumbin.example
LM-0039,Thurloxton Fitness Co,Agency,Quarterly,56,5.7,2024-11-17,2026-11-17,billing@thurloxtonfitnes.example
LM-0040,Wilbraham Salon LLP,Agency,Monthly,38,35.38,2024-06-26,2026-09-26,billing@wilbrahamsalonll.example
LM-0041,Ashvale Print Ltd,Agency,Monthly,19,28.79,2025-01-28,2026-09-28,billing@ashvaleprintltd.example
LM-0042,Brindon Florists Group,Core,Monthly,89,70.71,2025-05-16,2026-09-16,billing@brindonfloristsg.example
LM-0043,Culverton Studio Co,Lite,Monthly,50,67.57,2025-01-13,2026-09-13,billing@culvertonstudioc.example
LM-0044,Dellingham Bakery LLP,Agency,Monthly,103,34.29,2025-05-20,2026-09-20,billing@dellinghambakery.example
LM-0045,Eastmarsh Nursery Ltd,Core,Monthly,34,60.12,2026-06-27,2026-09-27,billing@eastmarshnursery.example
LM-0046,Fairholt Tutors Group,Lite,Annual,42,45.45,2025-10-28,2026-10-28,billing@fairholttutorsgr.example
LM-0047,Glenmore Removals Co,Core,Monthly,66,52.94,2025-06-17,2026-09-17,billing@glenmoreremovals.example
LM-0048,Harkness Clinic LLP,Lite,Monthly,54,53.42,2025-07-21,2026-09-21,billing@harknessclinicll.example
LM-0049,Inglewood Garage Ltd,Core,Monthly,44,31.82,2026-03-25,2026-09-25,billing@inglewoodgaragel.example
LM-0050,Kettleby Joinery Group,Core,Quarterly,20,68.2,2025-01-13,2026-10-13,billing@kettlebyjoineryg.example
LM-0051,Longmere Veterinary Co,Lite,Monthly,67,77.26,2025-06-23,2026-09-23,billing@longmereveterina.example
LM-0052,Marchford Plumbing LLP,Lite,Monthly,73,74.35,2024-07-28,2026-09-28,billing@marchfordplumbin.example
LM-0053,Netherfold Fitness Ltd,Lite,Monthly,3,13.01,2025-09-21,2026-09-21,billing@netherfoldfitnes.example
LM-0054,Oakhanger Salon Group,Lite,Monthly,49,70.05,2025-11-25,2026-09-25,billing@oakhangersalongr.example
LM-0055,Pentridge Print Co,Lite,Quarterly,43,7.65,2025-12-20,2026-09-20,billing@pentridgeprintco.example
LM-0056,Quarrendon Florists LLP,Agency,Monthly,62,56.43,2024-12-25,2026-09-25,billing@quarrendonfloris.example
LM-0057,Rowanhead Studio Ltd,Agency,Quarterly,71,66.09,2024-07-17,2026-10-17,billing@rowanheadstudiol.example
LM-0058,Southwick Bakery Group,Core,Annual,66,18.34,2026-03-23,2027-03-23,billing@southwickbakeryg.example
LM-0059,Thurloxton Nursery Co,Agency,Monthly,46,25.45,2025-06-14,2026-09-14,billing@thurloxtonnurser.example
LM-0060,Wilbraham Tutors LLP,Core,Monthly,116,29.27,2026-02-22,2026-09-22,billing@wilbrahamtutorsl.example
