Object no.,Object title,Lender,Condition,Loan status,Handling notes
MLR-00001,Sketch of the Old Mill,Marden Bequest,Stable,Approved,Two-person lift
MLR-00002,Cast of the Old Mill,Halstow Foundation,Stable,Requested,No flash; Crate only
MLR-00003,Study of a Winter Field,Marden Bequest,Under treatment,Returned,Crate only; No flash
MLR-00004,Panel of a Standing Figure,Halstow Foundation,Fragile,Returned,Gloves
MLR-00005,Sketch of the North Gate,Pellworth Collection,Fragile,Approved,Crate only; No flash
MLR-00006,Cast of the North Gate,Rowan & Vale Estate,Stable,Returned,Crate only
MLR-00007,View of a Harbour,Rowan & Vale Estate,Under treatment,Declined,No flash; Two-person lift
MLR-00008,View of a Weaver,Ivelet House,Fragile,Not approved,Crate only
MLR-00009,Panel of a Reading Room,Ivelet House,Fragile,Declined,Two-person lift; Crate only
MLR-00010,Portrait of the Old Mill,Rowan & Vale Estate,Fragile,Returned,Crate only
MLR-00011,Panel of Two Sisters,Ivelet House,Stable,Approved,Two-person lift
MLR-00012,Study of Two Sisters,Rowan & Vale Estate,Stable,Approved,No flash
MLR-00013,Interior of a Standing Figure,Rowan & Vale Estate,Stable,Rejected,No flash
MLR-00014,View of a Weaver,Ivelet House,Stable,Returned,Two-person lift; No flash
MLR-00015,View of a Harbour,Ashgrove Trust,Fragile,Approved,No flash; Two-person lift
MLR-00016,Cast of Two Sisters,Rowan & Vale Estate,Stable,Declined,No flash
MLR-00017,Sketch of a Weaver,Ivelet House,Stable,Requested,Two-person lift
MLR-00018,Portrait of Two Sisters,Ashgrove Trust,Stable,Approved,No flash
MLR-00019,Cast of the Old Mill,Rowan & Vale Estate,Stable,Returned,Two-person lift
MLR-00020,Sketch of a Weaver,Ivelet House,Unstable,Approved,Two-person lift; Crate only
MLR-00021,Portrait of Two Sisters,Rowan & Vale Estate,Stable,Requested,No flash
MLR-00022,Study of Two Sisters,Ashgrove Trust,Stable,Denied,No flash; Gloves
MLR-00023,Panel of the North Gate,Ashgrove Trust,Stable,Returned,Crate only
MLR-00024,Sketch of a Reading Room,Marden Bequest,Stable,Returned,Two-person lift
MLR-00025,View of the North Gate,Halstow Foundation,Stable,Returned,Gloves; Crate only
MLR-00026,Portrait of Two Sisters,Marden Bequest,Stable,Returned,Crate only
MLR-00027,Panel of a Weaver,Pellworth Collection,Stable,Approved,No flash
MLR-00028,Panel of the North Gate,Ashgrove Trust,Unstable,Returned,Two-person lift
MLR-00029,Sketch of Two Sisters,Halstow Foundation,Stable,Requested,No flash
MLR-00030,Interior of a Weaver,Pellworth Collection,Unstable,RET,Gloves
MLR-00031,Study of Two Sisters,Halstow Foundation,Fragile,Declined,Crate only; Two-person lift
MLR-00032,Panel of a Winter Field,Marden Bequest,Stable,Returned,Gloves; Crate only
MLR-00033,Study of a Weaver,Ashgrove Trust,Unstable,Approved,Crate only; Gloves
MLR-00034,Study of Two Sisters,Ashgrove Trust,Stable,Returned,No flash
MLR-00035,Study of a Standing Figure,Marden Bequest,Stable,Returned,Crate only; No flash
MLR-00036,Portrait of a Reading Room,Pellworth Collection,Stable,Returned,No flash
MLR-00037,Sketch of a Standing Figure,Ashgrove Trust,Unstable,Returned,Gloves; Two-person lift
MLR-00038,View of a Winter Field,Ivelet House,Stable,Requested,Gloves; No flash
MLR-00039,Panel of a Harbour,Rowan & Vale Estate,Fragile,Requested,No flash; Gloves
MLR-00040,Portrait of a Standing Figure,Rowan & Vale Estate,Stable,Requested,Two-person lift
MLR-00041,Portrait of a Weaver,Halstow Foundation,Stable,Requested,Gloves; No flash
MLR-00042,Cast of the North Gate,Ashgrove Trust,Stable,Returned,Crate only
MLR-00043,Portrait of the Old Mill,Halstow Foundation,Stable,Approved,No flash
MLR-00044,View of a Reading Room,Marden Bequest,Fragile,Approved,No flash; Two-person lift
