Vendor code,Vendor name,Spend category,Incoterm,Lead time (days),Approved on,Status,Buyer contact,E-mail
HW-0001,Ambleforth Cartons Ltd,Packaging,DDP,12,2024-03-26,Pending,Anselm Ambleside,anselm.ambleside@ambleforthcart.example
HW-0002,Barrowden Couriers Oy,Logistics,DAP,31,2025-05-21,Approved,Deryn Lockhart,deryn.lockhart@barrowdencouri.example
HW-0003,Cheswick Glassworks SRL,Raw materials,DAP,46,2024-09-26,Approved,Gwilym Gadsby,gwilym.gadsby@cheswickglassw.example
HW-0004,Dunsmere Crates BV,Packaging,DDP,51,2026-03-08,Approved,Jolanta Barrowclough,jolanta.barrowclough@dunsmerecrates.example
HW-0005,Edgeworth Warehousing Group,Logistics,FOB,38,2025-05-12,Approved,Merrick Marchbank,merrick.marchbank@edgeworthwareh.example
HW-0006,Frampton Cleaning PLC,Maintenance,DAP,22,2026-06-16,Approved,Petra Halliwell,petra.halliwell@framptoncleani.example
HW-0007,Galloway Films Ltd,Packaging,FOB,60,2025-02-03,Suspended,Caius Chevington,caius.chevington@gallowayfilmsl.example
HW-0008,Hartshorne Polymers Oy,Raw materials,FOB,37,2024-09-19,Approved,Ffion Nettleford,ffion.nettleford@hartshornepoly.example
HW-0009,Innesford Calibration SRL,Maintenance,FOB,22,2024-12-12,Approved,Idris Inkpen,idris.inkpen@innesfordcalib.example
HW-0010,Jevington Labels BV,Packaging,DDP,25,2025-07-02,Approved,Linnet Dunwoody,linnet.dunwoody@jevingtonlabel.example
HW-0011,Knayton Adhesives Group,Raw materials,EXW,38,2024-10-10,Pending,Osric Oldbury,osric.oldbury@knaytonadhesiv.example
HW-0012,Larkhall Tooling PLC,Maintenance,DDP,57,2025-04-21,Approved,Brioney Jelbart,brioney.jelbart@larkhalltoolin.example
HW-0013,Mirfield Pallets Ltd,Packaging,DAP,29,2025-12-09,Approved,Eamon Elverton,eamon.elverton@mirfieldpallet.example
HW-0014,Newsholme Alloys Oy,Raw materials,DAP,48,2024-11-27,Approved,Hesper Prescott,hesper.prescott@newsholmealloy.example
HW-0015,Oswaldkirk Filters SRL,Maintenance,DDP,15,2024-07-21,Approved,Kester Kinnaird,kester.kinnaird@oswaldkirkfilt.example
HW-0016,Penrhos Haulage BV,Logistics,DDP,22,2024-02-06,Approved,Nessa Fanshawe,nessa.fanshawe@penrhoshaulage.example
HW-0017,Quorndon Pigments Group,Raw materials,DDP,59,2024-07-16,Pending,Anselm Ambleside,anselm.ambleside@quorndonpigmen.example
